url,page_label,brand,page_type,fetch_status,recommendations
https://www.radissonhotels.com/en-us/brand/park-plaza,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,5001;5002
https://www.radissonhotels.com/en-us/brand/park-plaza/destinations,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/destinations/budapest,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/destinations/croatia,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/family-program,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/family-program/our-properties,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/festive,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/go-digital,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/hotel-deals,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/meeting-conference,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,5004
https://www.radissonhotels.com/en-us/brand/park-plaza/meeting-conference/picklist,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,5008
https://www.radissonhotels.com/en-us/brand/park-plaza/park-plaza-moments,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/restaurant-bar,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/brand/park-plaza/sustainability,en-us / brand,Park Plaza,brand,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/hotels/park-plaza-amsterdam-airport/meeting-events,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,5003
https://www.radissonhotels.com/en-us/hotels/park-plaza-amsterdam-airport/meeting-events/plan-your-event,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/hotels/park-plaza-amsterdam-airport/meeting-events/radisson-rewards-bookers-planners,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/hotels/park-plaza-amsterdam-airport/meeting-events/sustainability,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/hotels/park-plaza-bangkok-soi-18/meeting-events,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/hotels/park-plaza-beijing-science-park/meeting-events,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/hotels/park-plaza-beijing-wangfujing/meeting-events,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,
https://www.radissonhotels.com/en-us/hotels/park-plaza-belvedere-medulin/meeting-events,en-us / meetings,Park Plaza,meetings,http_403 - access-restricted template,
